Function,Total Duration
total,0.87414519
output,0.43433638000000024
substep,0.18611864999999989
find_neighbors,0.16773120000000002
update_velocity,0.07765035999999996
update_grid,0.06338134000000001
compute_position,0.05504992000000004
compute_lambdas,0.04650297999999994
apply_gravity,0.017587969999999998
apply_position,0.00607704
after_update,0.0017057000000000003
